,location,keyword,value,datetimeOfTriggerPublish
0,Australian Capital Territory,Budget,66,2023-03-15 07:00:44.709335+10:00
1,New South Wales,Budget,81,2023-03-15 07:00:44.709335+10:00
2,Northern Territory,Budget,84,2023-03-15 07:00:44.709335+10:00
3,Queensland,Budget,81,2023-03-15 07:00:44.709335+10:00
4,South Australia,Budget,79,2023-03-15 07:00:44.709335+10:00
5,Tasmania,Budget,79,2023-03-15 07:00:44.709335+10:00
6,Victoria,Budget,85,2023-03-15 07:00:44.709335+10:00
7,Western Australia,Budget,79,2023-03-15 07:00:44.709335+10:00
8,Australian Capital Territory,Australian Parliament,4,2023-03-15 07:00:44.709335+10:00
9,New South Wales,Australian Parliament,2,2023-03-15 07:00:44.709335+10:00
10,Northern Territory,Australian Parliament,0,2023-03-15 07:00:44.709335+10:00
11,Queensland,Australian Parliament,2,2023-03-15 07:00:44.709335+10:00
12,South Australia,Australian Parliament,4,2023-03-15 07:00:44.709335+10:00
13,Tasmania,Australian Parliament,5,2023-03-15 07:00:44.709335+10:00
14,Victoria,Australian Parliament,2,2023-03-15 07:00:44.709335+10:00
15,Western Australia,Australian Parliament,2,2023-03-15 07:00:44.709335+10:00
16,Australian Capital Territory,Australian Government,27,2023-03-15 07:00:44.709335+10:00
17,New South Wales,Australian Government,15,2023-03-15 07:00:44.709335+10:00
18,Northern Territory,Australian Government,16,2023-03-15 07:00:44.709335+10:00
19,Queensland,Australian Government,16,2023-03-15 07:00:44.709335+10:00
20,South Australia,Australian Government,16,2023-03-15 07:00:44.709335+10:00
21,Tasmania,Australian Government,14,2023-03-15 07:00:44.709335+10:00
22,Victoria,Australian Government,13,2023-03-15 07:00:44.709335+10:00
23,Western Australia,Australian Government,16,2023-03-15 07:00:44.709335+10:00
24,Australian Capital Territory,Reserve Bank of Australia,1,2023-03-15 07:00:44.709335+10:00
25,New South Wales,Reserve Bank of Australia,1,2023-03-15 07:00:44.709335+10:00
26,Northern Territory,Reserve Bank of Australia,0,2023-03-15 07:00:44.709335+10:00
27,Queensland,Reserve Bank of Australia,0,2023-03-15 07:00:44.709335+10:00
28,South Australia,Reserve Bank of Australia,1,2023-03-15 07:00:44.709335+10:00
29,Tasmania,Reserve Bank of Australia,2,2023-03-15 07:00:44.709335+10:00
30,Victoria,Reserve Bank of Australia,0,2023-03-15 07:00:44.709335+10:00
31,Western Australia,Reserve Bank of Australia,0,2023-03-15 07:00:44.709335+10:00
32,Australian Capital Territory,Jim Chalmers,2,2023-03-15 07:00:44.709335+10:00
33,New South Wales,Jim Chalmers,1,2023-03-15 07:00:44.709335+10:00
34,Northern Territory,Jim Chalmers,0,2023-03-15 07:00:44.709335+10:00
35,Queensland,Jim Chalmers,1,2023-03-15 07:00:44.709335+10:00
36,South Australia,Jim Chalmers,0,2023-03-15 07:00:44.709335+10:00
37,Tasmania,Jim Chalmers,0,2023-03-15 07:00:44.709335+10:00
38,Victoria,Jim Chalmers,0,2023-03-15 07:00:44.709335+10:00
39,Western Australia,Jim Chalmers,3,2023-03-15 07:00:44.709335+10:00
