date,Federal Budget,Government Debt,Interest Rates,Electricity Prices,Military Budget
2023-02-26,0,0,23,0,0
2023-02-27,1,0,29,1,0
2023-02-28,1,0,29,0,0
2023-03-01,0,1,31,0,0
2023-03-02,0,0,23,2,0
2023-03-03,1,0,21,0,0
2023-03-04,0,0,18,0,1
2023-03-05,0,1,29,1,2
2023-03-06,0,0,45,0,0
2023-03-07,1,0,100,0,0
2023-03-08,0,0,43,0,0
2023-03-09,0,0,35,2,1
2023-03-10,0,0,25,1,0
2023-03-11,0,0,24,0,2
2023-03-12,0,0,22,0,0
2023-03-13,1,0,27,1,0
2023-03-14,1,1,32,0,0
2023-03-15,0,1,25,1,1
2023-03-16,0,1,28,1,1
2023-03-17,0,0,22,1,0
2023-03-18,0,0,20,1,1
2023-03-19,2,1,22,2,0
2023-03-20,0,0,25,0,0
2023-03-21,1,0,30,0,1
2023-03-22,1,0,28,2,0
