,Politicians,"March 28, 2023","March 30, 2023","March 29, 2023","March 27, 2023","March 26, 2023","March 25, 2023","March 24, 2023","March 23, 2023"
0,Jim Chalmers: Treasurer,7,5.0,5,0,0,0,0,0
1,Anthony Albanese: Prime Minister,5,9.0,4,0,0,0,0,0
2,Tanya Plibesek: Minister for the Environment & Water,5,2.0,0,0,0,0,0,0
3,Anne Aly: Minister for Early Childhood Education; Minister for Youth,4,2.0,0,0,0,0,0,0
4,Karen Andrews: Shadow Minister for Home Affairs; Shadow Minister for Child Protection & the Prevention of Family Violence,4,1.0,2,0,0,0,0,0
5,Mark Butler: Minister for Health & Aged Care,3,2.0,1,0,0,0,0,0
6,Bill Shorten: Minister for the National Disability Insurance Scheme; Minister for Government Services,3,1.0,2,0,0,0,0,0
7,Bridget Mckenzie: Shadow Minister for Infrastructure; Transport & Regional Development,3,1.0,1,0,0,0,0,0
8,Katy Gallagher: Minister for Finance; Minister for Women; Minister for Public Service,3,1.0,3,0,0,0,0,0
9,Penny Wong: Minister for Foreign Affairs,3,3.0,0,0,0,0,0,0
10,Jane Hume: Shadow Minister for the Public Service; Shadow Minister for Finance; Shadow Special Minister of State,2,0.0,0,0,0,0,0,0
11,Angus Taylor: Shadow Treasurer,2,1.0,1,0,0,0,0,0
12,Chris Bowen: Minister for Climate Change & Energy,2,4.0,3,0,0,0,0,0
13,Peter Dutton: Leader of the Opposition,2,1.0,1,0,0,0,0,0
14,David Littleproud: Shadow Minister for Agriculture,2,0.0,0,0,0,0,0,0
15,Mark Dreyfus: Attorney-General Cabinet Secretary,2,2.0,0,0,0,0,0,0
16,Kristy McBain: Minister for Regional Development; Local Government & Territories,2,0.0,0,0,0,0,0,0
17,Jason Clare: Minister for Education,2,2.0,0,0,0,0,0,0
18,Julie Collins: Minister for Housing; Minister for Homelessness; Minister for Small Business,2,0.0,0,0,0,0,0,0
19,Pat Conroy: Minister for Defence Industry; Minister for International Development & the Pacific,2,0.0,0,0,0,0,0,0
20,Kevin Hogan: Shadow Minister for Trade & Tourism; Deputy Manager of Opposition Business in the House,1,0.0,0,0,0,0,0,0
21,Andrew Wilkie: Independent MP from Tasmania,1,0.0,0,0,0,0,0,0
22,Anthony Chisholm: Assistant Minister for Education; Assistant Minister for Regional Development,1,0.0,0,0,0,0,0,0
23,Clare o'Niel: Minister for Home Affairs; Minister for Cyber Security,1,0.0,0,0,0,0,0,0
24,David Pocock: Independent Senator for the ACT,1,0.0,0,0,0,0,0,0
25,Ed Husic: Minister for Industry & Science,1,2.0,0,0,0,0,0,0
26,Andrew Hastie: Shadow Minister for Defence,1,1.0,0,0,0,0,0,0
27,Andrew Giles: Minister for Immigration; Citizenship & Multicultural Affairs,1,1.0,0,0,0,0,0,0
28,Marise Payne: Shadow Cabinet Secretary,1,1.0,1,0,0,0,0,0
29,Sarah Henderson: Shadow Minister for Education,1,1.0,0,0,0,0,0,0
30,Murray Watt: Minister for Agriculture; Fisheries & Forestry; Minister for Emergency Management,1,0.0,0,0,0,0,0,0
31,Sussan Ley: Deputy Leader of the Opposition; Shadow Minister for Women; Shadow Minister for Industry; Skills & Training; Shadow Minister for Small & Family Business,1,2.0,0,0,0,0,0,0
32,Simon Birmingham: Shadow Minister for Foreign Affairs,1,1.0,1,0,0,0,0,0
33,Michelle Rowland: Minister for Communications,1,0.0,0,0,0,0,0,0
34,Tony Burke: Minister for Employment; Workplace Relations Minister for the Arts,1,2.0,1,0,0,0,0,0
