Politician Name,Politician Title
Jim Chalmers, Treasurer
Anthony Albanese, Prime Minister
Tanya Plibesek, Minister for the Environment & Water
Anne Aly, Minister for Early Childhood Education; Minister for Youth
Karen Andrews, Shadow Minister for Home Affairs; Shadow Minister for Child Protection & the Prevention of Family Violence
Mark Butler, Minister for Health & Aged Care
Bill Shorten, Minister for the National Disability Insurance Scheme; Minister for Government Services
Bridget Mckenzie, Shadow Minister for Infrastructure; Transport & Regional Development
Katy Gallagher, Minister for Finance; Minister for Women; Minister for Public Service
Penny Wong, Minister for Foreign Affairs
Jane Hume, Shadow Minister for the Public Service; Shadow Minister for Finance; Shadow Special Minister of State
Angus Taylor, Shadow Treasurer
Chris Bowen, Minister for Climate Change & Energy
Peter Dutton, Leader of the Opposition
David Littleproud, Shadow Minister for Agriculture
Mark Dreyfus, Attorney-General Cabinet Secretary
Kristy McBain, Minister for Regional Development; Local Government & Territories
Jason Clare, Minister for Education
Julie Collins, Minister for Housing; Minister for Homelessness; Minister for Small Business
Pat Conroy, Minister for Defence Industry; Minister for International Development & the Pacific
Kevin Hogan, Shadow Minister for Trade & Tourism; Deputy Manager of Opposition Business in the House
Andrew Wilkie, Independent MP from Tasmania
Anthony Chisholm, Assistant Minister for Education; Assistant Minister for Regional Development
Clare o'Niel, Minister for Home Affairs; Minister for Cyber Security
David Pocock, Independent Senator for the ACT
Ed Husic, Minister for Industry & Science
Andrew Hastie, Shadow Minister for Defence
Andrew Giles, Minister for Immigration; Citizenship & Multicultural Affairs
Marise Payne, Shadow Cabinet Secretary
Sarah Henderson, Shadow Minister for Education
Murray Watt, Minister for Agriculture; Fisheries & Forestry; Minister for Emergency Management
Sussan Ley, Deputy Leader of the Opposition; Shadow Minister for Women; Shadow Minister for Industry; Skills & Training; Shadow Minister for Small & Family Business
Simon Birmingham, Shadow Minister for Foreign Affairs
Michelle Rowland, Minister for Communications
Tony Burke, Minister for Employment; Workplace Relations Minister for the Arts
