Handle,Volume,Username,Image
ACOSS,22.0,ACOSS,https://pbs.twimg.com/profile_images/1633585788427603969/1RwzcWZf.jpg
JEChalmers,10.6,Jim Chalmers MP,https://pbs.twimg.com/profile_images/1424880718283382792/vY9PG-KP.jpg
SenKatyG,7.1,Katy Gallagher,https://pbs.twimg.com/profile_images/613511166040473600/zJLo2OKp.jpg
AlboMP,6.7,Anthony Albanese,https://pbs.twimg.com/profile_images/1528580805626560512/k9qA_eF0.jpg
unionsaustralia,5.9,Australian Unions,https://pbs.twimg.com/profile_images/1563648241551306753/X9aVZKd1.jpg
JulieCollinsMP,4.7,Julie Collins,https://pbs.twimg.com/profile_images/1409681303608324113/0uF4g1vs.jpg
AnnastaciaMP,4.7,Annastacia Palaszczuk,https://pbs.twimg.com/profile_images/1625785514392711168/mE2Eifpd.jpg
LindaBurneyMP,3.5,Linda Burney MP,https://pbs.twimg.com/profile_images/1557265861505077249/uAa_Kg4J.jpg
ClareONeilMP,3.5,Clare O'Neil MP,https://pbs.twimg.com/profile_images/1631147740083400705/EOguLUgW.jpg
BCAcomau,3.1,Business Council of Australia,https://pbs.twimg.com/profile_images/1329308810515681280/L9nxjY3k.jpg
MurrayWatt,3.1,Senator Murray Watt,https://pbs.twimg.com/profile_images/2497682476/image.jpg
Mark_Butler_MP,2.4,Mark Butler MP,https://pbs.twimg.com/profile_images/1560491127362715651/LWRsqmXi.jpg
tanya_plibersek,2.4,Tanya Plibersek,https://pbs.twimg.com/profile_images/630893072851689473/D9QkfBkV.png
terrimbutler,2.0,Terri Butler,https://pbs.twimg.com/profile_images/1561536736412389378/oCfxf0vQ.jpg
MichaelWestBiz,2.0,💧Michael West,https://pbs.twimg.com/profile_images/1356457749178028033/wExdEq-O.jpg
PaulineHansonOz,2.0,Pauline Hanson 🇦🇺,https://pbs.twimg.com/profile_images/968735281213042688/Qwzqb_0I.jpg
SenatorWong,2.0,Senator Penny Wong,https://pbs.twimg.com/profile_images/1542447138730561537/NsJEP6gf.jpg
sussanley,2.0,Sussan Ley,https://pbs.twimg.com/profile_images/1531822253456752640/RKTrvv47.jpg
MarkMcGowanMP,2.0,Mark McGowan,https://pbs.twimg.com/profile_images/1376431626566082569/c9TnEGUB.png
AlanKohler,1.6,Alan Kohler,https://pbs.twimg.com/profile_images/1093059484967006208/HGbQTm7s.jpg
1RossGittins,1.2,Ross Gittins,https://pbs.twimg.com/profile_images/1280916944/gittins3.jpg
StephenJonesMP,1.2,Stephen Jones MP,https://pbs.twimg.com/profile_images/1260796274430734336/mjPiNcpH.jpg
RichardMarlesMP,1.2,Richard Marles,https://pbs.twimg.com/profile_images/1548862873534812160/a8G3wCX2.jpg
BOConnorMP,1.2,Brendan O'Connor,https://pbs.twimg.com/profile_images/1535270228455657473/571YtDux.jpg
CatherineKingMP,0.8,Catherine King MP,https://pbs.twimg.com/profile_images/659965042276757504/Z4X9AL4Q.jpg
DarrenChesterMP,0.8,Darren Chester MP,https://pbs.twimg.com/profile_images/1470535867462684672/TQPAawQ6.jpg
MRowlandMP,0.8,Michelle Rowland,https://pbs.twimg.com/profile_images/1356469694815821826/l792635J.jpg
