Handle,Volume,Username,Image
LiberalAus,34.6,Liberal Party,https://pbs.twimg.com/profile_images/1512972080543039489/inKOKNCL.jpg
LindaBurneyMP,11.5,Linda Burney MP,https://pbs.twimg.com/profile_images/1557265861505077249/uAa_Kg4J.jpg
AlboMP,7.7,Anthony Albanese,https://pbs.twimg.com/profile_images/1528580805626560512/k9qA_eF0.jpg
StephenJonesMP,7.7,Stephen Jones MP,https://pbs.twimg.com/profile_images/1260796274430734336/mjPiNcpH.jpg
MichaelWestBiz,7.7,💧Michael West,https://pbs.twimg.com/profile_images/1356457749178028033/wExdEq-O.jpg
AlanKohler,7.7,Alan Kohler,https://pbs.twimg.com/profile_images/1093059484967006208/HGbQTm7s.jpg
tanya_plibersek,3.8,Tanya Plibersek,https://pbs.twimg.com/profile_images/630893072851689473/D9QkfBkV.png
BOConnorMP,3.8,Brendan O'Connor,https://pbs.twimg.com/profile_images/1535270228455657473/571YtDux.jpg
AnnastaciaMP,3.8,Annastacia Palaszczuk,https://pbs.twimg.com/profile_images/1625785514392711168/mE2Eifpd.jpg
ACOSS,3.8,ACOSS,https://pbs.twimg.com/profile_images/1633585788427603969/1RwzcWZf.jpg
Bowenchris,3.8,Chris Bowen,https://pbs.twimg.com/profile_images/1605150359126564864/lcDIvwx9.jpg
PaulineHansonOz,3.8,Pauline Hanson 🇦🇺,https://pbs.twimg.com/profile_images/968735281213042688/Qwzqb_0I.jpg
