date,Anthony Albanese,Jim Chalmers,Katy Gallagher,Richard Marles,Penny Wong
2023-04-15,17,0,13,16,0
2023-04-16,20,0,0,0,9
2023-04-17,27,18,15,0,90
2023-04-18,13,0,0,0,36
2023-04-19,17,16,0,0,29
2023-04-20,9,43,11,0,19
2023-04-21,29,15,0,0,16
2023-04-22,24,17,28,0,0
2023-04-23,23,0,15,0,0
2023-04-24,25,13,13,21,13
2023-04-25,50,0,0,9,0
2023-04-26,36,19,8,6,0
2023-04-27,34,10,0,0,8
2023-04-28,24,21,0,0,14
2023-04-29,44,21,0,0,18
2023-04-30,31,11,0,0,7
2023-05-01,25,0,0,18,0
2023-05-02,46,11,0,0,0
2023-05-03,88,0,0,11,20
2023-05-04,85,11,0,19,10
2023-05-05,29,13,15,0,0
2023-05-06,85,16,0,44,20
2023-05-07,55,15,0,0,26
2023-05-08,55,43,0,0,21
2023-05-09,0,100,30,0,11
2023-05-10,33,59,12,0,0
2023-05-11,24,34,0,6,30
