date,Federal Budget,Austerity,Cost of living,Energy Costs,Defense Spending 
2023-03-19,1,1,20,3,0
2023-03-20,1,1,23,0,0
2023-03-21,2,0,29,0,0
2023-03-22,0,1,25,1,0
2023-03-23,1,1,27,0,0
2023-03-24,0,0,21,0,0
2023-03-25,0,1,17,1,1
2023-03-26,0,2,17,1,0
2023-03-27,1,0,19,1,0
2023-03-28,0,0,23,0,0
2023-03-29,0,0,24,0,0
2023-03-30,0,1,17,0,0
2023-03-31,0,1,20,0,0
2023-04-01,0,0,18,1,1
2023-04-02,2,0,21,1,0
2023-04-03,2,0,26,0,1
2023-04-04,0,1,100,0,0
2023-04-05,1,1,27,1,0
2023-04-06,0,0,21,0,0
2023-04-07,0,0,14,0,0
2023-04-08,1,0,11,0,0
2023-04-09,0,1,13,1,0
2023-04-10,0,1,14,0,0
2023-04-11,1,1,19,0,0
2023-04-12,1,1,26,1,1
2023-04-13,1,2,19,2,0
2023-04-14,3,0,16,0,0
2023-04-15,2,0,15,0,2
